n,pos_rate,roc_auc,pr_auc,ece_10,thr@0.5,precision@0.5,recall@0.5,f1@0.5,acc@0.5,thr@best_f1,precision@best_f1,recall@best_f1,f1@best_f1,acc@best_f1,probs_col,label_col,slice
30645,0.8464349812367433,0.9778948958463092,0.9957838032404052,0.1193614559823134,0.5,0.9600695757392422,0.9788349589421336,0.9693614584327576,0.9476260401370532,0.15,0.9563084986896292,0.9847334130074406,0.9703128264544436,0.9489965736661772,pred_cal,label,ALL
82,0.6707317073170732,0.9212121212121211,0.9633492624221752,0.2454437649268293,0.5,0.8360655737704918,0.9272727272727272,0.8793103448275862,0.8292682926829268,0.15,0.8412698412698413,0.9636363636363636,0.8983050847457628,0.8536585365853658,pred_cal,label,muslim
208,0.7692307692307693,0.973828125,0.9916794362764044,0.1972527640721154,0.5,0.951219512195122,0.975,0.9629629629629628,0.9423076923076924,0.4999999999999999,0.951219512195122,0.975,0.9629629629629628,0.9423076923076924,pred_cal,label,jewish
545,0.7981651376146789,0.9694775339602926,0.9922550260888998,0.1486964313064221,0.5,0.9197396963123644,0.9747126436781608,0.9464285714285714,0.9119266055045872,0.7,0.947845804988662,0.960919540229885,0.9543378995433788,0.926605504587156,pred_cal,label,black
547,0.7824497257769653,0.9576592319170658,0.9877891914497112,0.1587321127202925,0.5,0.912472647702407,0.9742990654205608,0.9423728813559322,0.906764168190128,0.15,0.90752688172043,0.985981308411215,0.9451287793952968,0.9104204753199268,pred_cal,label,asian
758,0.7427440633245382,0.9565241153163,0.985043801879882,0.1974345245514511,0.5,0.8983333333333333,0.9573712255772646,0.926913155631986,0.8878627968337731,0.6,0.9083191850594228,0.950266429840142,0.9288194444444444,0.8918205804749341,pred_cal,label,lgbtq
2972,0.7503364737550471,0.9250834008195036,0.9733121337943028,0.1555460001238222,0.5,0.8813838550247117,0.9596412556053812,0.9188492915414342,0.8728129205921938,0.25,0.8808353808353808,0.9645739910313902,0.920804794520548,0.8755047106325706,pred_cal,label,women
2804,0.753922967189729,0.9270463987495372,0.9735949317346902,0.1478559582778174,0.5,0.8816973853407629,0.9730368968779564,0.9251180571171576,0.8812410841654779,0.15,0.8788135593220339,0.9810785241248816,0.9271345552078676,0.8837375178316691,pred_cal,label,men
305,0.7770491803278688,0.8626830479027054,0.952829829299804,0.1722874286229507,0.5,0.8787878787878788,0.978902953586498,0.9261477045908184,0.8786885245901639,0.15,0.8731343283582089,0.9873417721518988,0.9267326732673268,0.8786885245901639,pred_cal,label,immigrant
