n,pos_rate,roc_auc,pr_auc,ece_10,thr@0.5,precision@0.5,recall@0.5,f1@0.5,acc@0.5,thr@best_f1,precision@best_f1,recall@best_f1,f1@best_f1,acc@best_f1,probs_col,label_col,slice
30645,0.8464349812367433,0.9781240778263862,0.9958418126064638,0.1201786132537119,0.5,0.960379928857943,0.978410887081229,0.969311563066934,0.9475607766356664,0.15,0.9562970452758116,0.984463549095956,0.9701759051707762,0.9487681514113232,pred_cal,label,ALL
82,0.6707317073170732,0.9097643097643098,0.9589567219000772,0.2714539475609756,0.5,0.8360655737704918,0.9272727272727272,0.8793103448275862,0.8292682926829268,0.15,0.8412698412698413,0.9636363636363636,0.8983050847457628,0.8536585365853658,pred_cal,label,muslim
208,0.7692307692307693,0.9731770833333332,0.9914836246308985,0.2025430809903844,0.5,0.9506172839506172,0.9625,0.9565217391304348,0.9326923076923076,0.2,0.9457831325301204,0.98125,0.9631901840490796,0.9423076923076924,pred_cal,label,jewish
545,0.7981651376146789,0.9715047021943574,0.9927741973626892,0.1468054615376147,0.5,0.9239130434782608,0.9770114942528736,0.9497206703910612,0.9174311926605504,0.65,0.948081264108352,0.9655172413793104,0.9567198177676538,0.9302752293577982,pred_cal,label,black
547,0.7824497257769653,0.957659231917066,0.9876192804474676,0.1532591990109689,0.5,0.9126637554585152,0.9766355140186916,0.9435665914221218,0.9085923217550276,0.2,0.9112554112554112,0.983644859813084,0.9460674157303368,0.9122486288848264,pred_cal,label,asian
758,0.7427440633245382,0.9610329279956276,0.9867043308722466,0.2046085665514513,0.5,0.903494176372712,0.9644760213143873,0.9329896907216496,0.8970976253298153,0.4999999999999999,0.903494176372712,0.9644760213143873,0.9329896907216496,0.8970976253298153,pred_cal,label,lgbtq
2972,0.7503364737550471,0.924657935769282,0.9732040144769132,0.1552083225030282,0.5,0.8812166050143855,0.9614349775784752,0.9195796697405104,0.8738223418573351,0.2,0.8791343405471621,0.9654708520179373,0.9202821115622996,0.8744952893674294,pred_cal,label,women
2804,0.753922967189729,0.9278814117066349,0.9740278619725548,0.1505712411373039,0.5,0.8819503849443969,0.9754020813623464,0.926325247079964,0.8830242510699001,0.2,0.8809017439387494,0.979659413434248,0.927659574468085,0.8848074179743224,pred_cal,label,men
305,0.7770491803278688,0.8624348473566642,0.952603402909474,0.1719526611409836,0.5,0.8783269961977186,0.9746835443037974,0.924,0.8754098360655738,0.2,0.8759398496240601,0.9831223628691984,0.926441351888668,0.8786885245901639,pred_cal,label,immigrant
