slice,recall_plain,recall_ctx,tpr_gap
jewish,1.0,0.975,-0.025000000000000022
muslim,0.9818181818181818,0.9636363636363636,-0.018181818181818188
women,0.9820627802690582,0.9645739910313902,-0.017488789237668056
lgbtq,0.960923623445826,0.950266429840142,-0.010657193605684068
ALL,0.9886657157176452,0.9847334130074406,-0.003932302710204616
asian,0.983644859813084,0.985981308411215,0.00233644859813098
immigrant,0.9831223628691984,0.9873417721518988,0.00421940928270037
men,0.9763481551561022,0.9810785241248816,0.00473036896877943
black,0.9471264367816092,0.960919540229885,0.013793103448275779
