condition,roc_auc,avg_precision
True,0.9778948958463093,0.9957838032404053
Drop,0.9778948958463093,0.9957838032404053
Shuffle,0.9781240778263862,0.9958418126064638
Truncate,0.9781240778263862,0.9958418126064638
